experiment_id,dataset_name,model_type,n_features,n_qubits,circuit_depth,accuracy,balanced_accuracy,macro_f1,precision,recall,confusion_matrix,runtime_seconds,n_trainable_params,n_circuit_evaluations,n_shots,kernel_evaluation_cost,seed,noise_level,extra
iris_PCA4_s42_svm,iris_PCA4_s42,svm,4,,,0.9666666666666667,0.9666666666666667,0.9665831244778612,0.9696969696969697,0.9666666666666667,"[[10, 0, 0], [0, 9, 1], [0, 0, 10]]",0.15392827987670898,,,,,42,,{}
iris_PCA4_s42_rf,iris_PCA4_s42,rf,4,,,0.9666666666666667,0.9666666666666667,0.9665831244778612,0.9696969696969697,0.9666666666666667,"[[10, 0, 0], [0, 9, 1], [0, 0, 10]]",12.062926054000854,4,,,,42,,{}
iris_PCA4_s42_mlp,iris_PCA4_s42,mlp,4,,,0.6666666666666666,0.6666666666666666,0.5893550893550893,0.6319444444444445,0.6666666666666666,"[[10, 0, 0], [2, 1, 7], [0, 1, 9]]",0.3559842109680176,403,,,,42,,{}
iris_PCA4_s42_QK_zz_q2_d1,iris_PCA4_s42,Quantum Kernel,4,2,1,0.9666666666666667,0.9666666666666667,0.9665831244778612,0.9696969696969697,0.9666666666666667,"[[10, 0, 0], [0, 9, 1], [0, 0, 10]]",30.977707624435425,0,0,1024,30.97010636329651,42,,"{'feature_map_type': 'zz', 'feature_map_info': {'num_qubits': 2, 'num_parameters': 2, 'depth': 1, 'num_gates': 1, 'type': 'ZZFeatureMap'}}"
iris_PCA4_s42_QK_zz_q2_d2,iris_PCA4_s42,Quantum Kernel,4,2,2,0.8333333333333334,0.8333333333333334,0.8319865319865319,0.8416666666666667,0.8333333333333334,"[[9, 0, 1], [1, 7, 2], [0, 1, 9]]",60.09120559692383,0,0,1024,60.08032035827637,42,,"{'feature_map_type': 'zz', 'feature_map_info': {'num_qubits': 2, 'num_parameters': 2, 'depth': 1, 'num_gates': 1, 'type': 'ZZFeatureMap'}}"
iris_PCA4_s42_QK_zz_q4_d1,iris_PCA4_s42,Quantum Kernel,4,4,1,0.9666666666666667,0.9666666666666667,0.9665831244778612,0.9696969696969697,0.9666666666666667,"[[10, 0, 0], [0, 9, 1], [0, 0, 10]]",32.25256943702698,0,0,1024,32.24448227882385,42,,"{'feature_map_type': 'zz', 'feature_map_info': {'num_qubits': 4, 'num_parameters': 4, 'depth': 1, 'num_gates': 1, 'type': 'ZZFeatureMap'}}"
iris_PCA2_s42_logreg,iris_PCA2_s42,logreg,2,,,0.9,0.9,0.899749373433584,0.9023569023569024,0.9,"[[10, 0, 0], [0, 9, 1], [0, 2, 8]]",0.0565800666809082,9,,,,42,,{}
iris_PCA2_s42_svm,iris_PCA2_s42,svm,2,,,0.9,0.9,0.899749373433584,0.9023569023569024,0.9,"[[10, 0, 0], [0, 9, 1], [0, 2, 8]]",0.03725576400756836,,,,,42,,{}
iris_PCA2_s42_svm,iris_PCA2_s42,svm,2,,,0.9,0.9,0.899749373433584,0.9023569023569024,0.9,"[[10, 0, 0], [0, 9, 1], [0, 2, 8]]",0.16529536247253418,,,,,42,,{}
iris_PCA2_s42_rf,iris_PCA2_s42,rf,2,,,0.9,0.9,0.899749373433584,0.9023569023569024,0.9,"[[10, 0, 0], [0, 8, 2], [0, 1, 9]]",12.810884237289429,2,,,,42,,{}
iris_PCA2_s42_mlp,iris_PCA2_s42,mlp,2,,,0.8,0.7999999999999999,0.7956228956228956,0.8027777777777777,0.7999999999999999,"[[10, 0, 0], [2, 7, 1], [0, 3, 7]]",0.36048316955566406,603,,,,42,,{}
iris_PCA2_s42_QK_zz_q2_d1,iris_PCA2_s42,Quantum Kernel,2,2,1,0.8,0.8000000000000002,0.8030910609857979,0.8090909090909091,0.8000000000000002,"[[9, 1, 0], [0, 7, 3], [0, 2, 8]]",13.134413719177246,0,0,1024,13.126399040222168,42,,"{'feature_map_type': 'zz', 'feature_map_info': {'num_qubits': 2, 'num_parameters': 2, 'depth': 1, 'num_gates': 1, 'type': 'ZZFeatureMap'}}"
iris_PCA2_s42_QK_zz_q2_d2,iris_PCA2_s42,Quantum Kernel,2,2,2,0.8,0.8000000000000002,0.8030910609857979,0.8090909090909091,0.8000000000000002,"[[9, 1, 0], [0, 7, 3], [0, 2, 8]]",14.421722173690796,0,0,1024,14.415058374404907,42,,"{'feature_map_type': 'zz', 'feature_map_info': {'num_qubits': 2, 'num_parameters': 2, 'depth': 1, 'num_gates': 1, 'type': 'ZZFeatureMap'}}"
